identifier,fullStatement,humanCodingScheme,listEnumeration,notes,educationLevel,CFItemType
5ec334ee-d7cc-11e8-824f-0242ac160002,"Develop a probability model and use it to find probabilities of events. Compare probabilities from a model to observed frequencies; if the agreement is not good, explain possible sources of the discrepancy.",7.SP.C.7,7,,7,Standard
5ec40735-d7cc-11e8-824f-0242ac160002,"Develop a uniform probability model by assigning equal probability to all outcomes, and use the model to determine probabilities of events. <em>For example, if a student is selected at random from a class, find the probability that Jane will be selected and the probability that a girl will be selected.</em>",7.SP.C.7.a,a.,,7,Component
5ec46fc9-d7cc-11e8-824f-0242ac160002,"Develop a probability model (which may not be uniform) by observing frequencies in data generated from a chance process. <em>For example, find the approximate probability that a spinning penny will land heads up or that a tossed paper cup will land open-end down. Do the outcomes for the spinning penny appear to be equally likely based on the observed frequencies?</em>",7.SP.C.7.b,b.,,7,Component
5ec38527-d7cc-11e8-824f-0242ac160002,"Find probabilities of compound events using organized lists, tables, tree diagrams, and simulation.",7.SP.C.8,8,,7,Standard
5ec40974-d7cc-11e8-824f-0242ac160002,"Understand that, just as with simple events, the probability of a compound event is the fraction of outcomes in the sample space for which the compound event occurs.",7.SP.C.8.a,a.,,7,Component
5ec47242-d7cc-11e8-824f-0242ac160002,"Represent sample spaces for compound events using methods such as organized lists, tables and tree diagrams. For an event described in everyday language (e.g., ""rolling double sixes""), identify the outcomes in the sample space which compose the event.",7.SP.C.8.b,b.,,7,Component
5ec4c7f4-d7cc-11e8-824f-0242ac160002,"Design and use a simulation to generate frequencies for compound events. <em>For example, use random digits as a simulation tool to approximate the answer to the question: If 40% of donors have type A blood, what is the probability that it will take at least 4 donors to find one with type A blood?</em>",7.SP.C.8.c,c.,,7,Component
5ec3a968-d7cc-11e8-824f-0242ac160002,Grade 8,,9,,8,Grade Level
5ebe72f8-d7cc-11e8-824f-0242ac160002,The Number System,,1,,8,Domain
5ebecca8-d7cc-11e8-824f-0242ac160002,"Know that there are numbers that are not rational, and approximate them by rational numbers.",8.NS.A,1,,8,Cluster
5ebf27ba-d7cc-11e8-824f-0242ac160002,"Know that numbers that are not rational are called irrational. Understand informally that every number has a decimal expansion; for rational numbers show that the decimal expansion repeats eventually, and convert a decimal expansion which repeats eventually into a rational number.",8.NS.A.1,1,,8,Standard
5ec05d8c-d7cc-11e8-824f-0242ac160002,"Use rational approximations of irrational numbers to compare the size of irrational numbers, locate them approximately on a number line diagram, and estimate the value of expressions (e.g., π²). <em>For example, by truncating the decimal expansion of √2, show that √2 is between 1 and 2, then between 1.4 and 1.5, and explain how to continue on to get better approximations.</em>",8.NS.A.2,2,,8,Standard
5ebfb56e-d7cc-11e8-824f-0242ac160002,Expressions & Equations,,2,,8,Domain
5ebec706-d7cc-11e8-824f-0242ac160002,Work with radicals and integer exponents.,8.EE.A,1,,8,Cluster
5ebf2003-d7cc-11e8-824f-0242ac160002,"Know and apply the properties of integer exponents to generate equivalent numerical expressions. <em>For example, 3² × 3<sup>-5</sup> = 3<sup>-3</sup> = 1/3³ = 1/27.</em>",8.EE.A.1,1,,8,Standard
5ec055c8-d7cc-11e8-824f-0242ac160002,"Use square root and cube root symbols to represent solutions to equations of the form x² = p and x³ = p, where p is a positive rational number. Evaluate square roots of small perfect squares and cube roots of small perfect cubes. Know that √2 is irrational.",8.EE.A.2,2,,8,Standard
5ec1262b-d7cc-11e8-824f-0242ac160002,"Use numbers expressed in the form of a single digit times an integer power of 10 to estimate very large or very small quantities, and to express how many times as much one is than the other. <em>For example, estimate the population of the United States as 3 × 10<sup>8</sup> and the population of the world as 7 × 10<sup>9</sup>, and determine that the world population is more than 20 times larger.</em>",8.EE.A.3,3,,8,Standard
5ec1c7e5-d7cc-11e8-824f-0242ac160002,"Perform operations with numbers expressed in scientific notation, including problems where both decimal and scientific notation are used. Use scientific notation and choose units of appropriate size for measurements of very large or very small quantities (e.g., use millimeters per year for seafloor spreading). Interpret scientific notation that has been generated by technology.",8.EE.A.4,4,,8,Standard
5ebfeb26-d7cc-11e8-824f-0242ac160002,"Understand the connections between proportional relationships, lines, and linear equations.",8.EE.B,2,,8,Cluster
5ec25ed1-d7cc-11e8-824f-0242ac160002,"Graph proportional relationships, interpreting the unit rate as the slope of the graph. Compare two different proportional relationships represented in different ways. <em>For example, compare a distance-time graph to a distance-time equation to determine which of two moving objects has greater speed.</em>",8.EE.B.5,5,,8,Standard
5ec2d4be-d7cc-11e8-824f-0242ac160002,Use similar triangles to explain why the slope m is the same between any two distinct points on a non-vertical line in the coordinate plane; derive the equation y = mx for a line through the origin and the equation y = mx + b for a line intercepting the vertical axis at b.,8.EE.B.6,6,,8,Standard
5ec0d97a-d7cc-11e8-824f-0242ac160002,Analyze and solve linear equations and pairs of simultaneous linear equations.,8.EE.C,3,,8,Cluster
5ec3386d-d7cc-11e8-824f-0242ac160002,Solve linear equations in one variable.,8.EE.C.7,7,,8,Standard
5ec40be8-d7cc-11e8-824f-0242ac160002,"Give examples of linear equations in one variable with one solution, infinitely many solutions, or no solutions. Show which of these possibilities is the case by successively transforming the given equation into simpler forms, until an equivalent equation of the form x = a, a = a, or a = b results (where a and b are different numbers).",8.EE.C.7.a,a.,,8,Component
5ec475c8-d7cc-11e8-824f-0242ac160002,"Solve linear equations with rational number coefficients, including equations whose solutions require expanding expressions using the distributive property and collecting like terms.",8.EE.C.7.b,b.,,8,Component
5ec387e8-d7cc-11e8-824f-0242ac160002,Analyze and solve pairs of simultaneous linear equations.,8.EE.C.8,8,,8,Standard
5ec40e31-d7cc-11e8-824f-0242ac160002,"Understand that solutions to a system of two linear equations in two variables correspond to points of intersection of their graphs, because points of intersection satisfy both equations simultaneously.",8.EE.C.8.a,a.,,8,Component
5ec47845-d7cc-11e8-824f-0242ac160002,"Solve systems of two linear equations in two variables algebraically, and estimate solutions by graphing the equations. Solve simple cases by inspection. <em>For example, 3x + 2y = 5 and 3x + 2y = 6 have no solution because 3x + 2y cannot simultaneously be 5 and 6.</em>",8.EE.C.8.b,b.,,8,Component
5ec4ca83-d7cc-11e8-824f-0242ac160002,"Solve real-world and mathematical problems leading to two linear equations in two variables. <em>For example, given coordinates for two pairs of points, determine whether the line through the first pair of points intersects the line through the second pair.</em>",8.EE.C.8.c,c.,,8,Component
5ec0bcf5-d7cc-11e8-824f-0242ac160002,Functions,,3,,8,Domain
5ebec8c9-d7cc-11e8-824f-0242ac160002,"Define, evaluate, and compare functions.",8.F.A,1,,8,Cluster
5ebf2248-d7cc-11e8-824f-0242ac160002,Understand that a function is a rule that assigns to each input exactly one output. The graph of a function is the set of ordered pairs consisting of an input and the corresponding output.,8.F.A.1,1,Function notation is not required in Grade 8.,8,Standard
5ec05857-d7cc-11e8-824f-0242ac160002,"Compare properties of two functions each represented in a different way (algebraically, graphically, numerically in tables, or by verbal descriptions). <em>For example, given a linear function represented by a table of values and a linear function represented by an algebraic expression, determine which function has the greater rate of change.</em>",8.F.A.2,2,,8,Standard
5ec12876-d7cc-11e8-824f-0242ac160002,"Interpret the equation y = mx + b as defining a linear function, whose graph is a straight line; give examples of functions that are not linear. <em>For example, the function A = s² giving the area of a square as a function of its side length is not linear because its graph contains the points (1,1), (2,4) and (3,9), which are not on a straight line.</em>",8.F.A.3,3,,8,Standard
5ebfee12-d7cc-11e8-824f-0242ac160002,Use functions to model relationships between quantities.,8.F.B,2,,8,Cluster
5ec1ca3a-d7cc-11e8-824f-0242ac160002,"Construct a function to model a linear relationship between two quantities. Determine the rate of change and initial value of the function from a description of a relationship or from two (x, y) values, including reading these from a table or from a graph. Interpret the rate of change and initial value of a linear function in terms of the situation it models, and in terms of its graph or a table of values.",8.F.B.4,4,,8,Standard
5ec26176-d7cc-11e8-824f-0242ac160002,"Describe qualitatively the functional relationship between two quantities by analyzing a graph (e.g., where the function is increasing or decreasing, linear or nonlinear). Sketch a graph that exhibits the qualitative features of a function that has been described verbally.",8.F.B.5,5,,8,Standard
5ec18697-d7cc-11e8-824f-0242ac160002,Geometry,,4,,8,Domain
5ebecad9-d7cc-11e8-824f-0242ac160002,"Understand congruence and similarity using physical models, transparencies, or geometry software.",8.G.A,1,,8,Cluster
5ebf252b-d7cc-11e8-824f-0242ac160002,"Verify experimentally the properties of rotations, reflections, and translations:",8.G.A.1,1,,8,Standard
5ec41070-d7cc-11e8-824f-0242ac160002,"Lines are taken to lines, and line segments to line segments of the same length.",8.G.A.1.a,a.,,8,Component
5ec47abb-d7cc-11e8-824f-0242ac160002,Angles are taken to angles of the same measure.,8.G.A.1.b,b.,,8,Component
5ec4cd6a-d7cc-11e8-824f-0242ac160002,Parallel lines are taken to parallel lines.,8.G.A.1.c,c.,,8,Component
5ec05af0-d7cc-11e8-824f-0242ac160002,"Understand that a two-dimensional figure is congruent to another if the second can be obtained from the first by a sequence of rotations, reflections, and translations; given two congruent figures, describe a sequence that exhibits the congruence between them.",8.G.A.2,2,,8,Standard
5ec12ac0-d7cc-11e8-824f-0242ac160002,"Describe the effect of dilations, translations, rotations, and reflections on two-dimensional figures using coordinates.",8.G.A.3,3,,8,Standard
5ec1cc93-d7cc-11e8-824f-0242ac160002,"Understand that a two-dimensional figure is similar to another if the second can be obtained from the first by a sequence of rotations, reflections, translations, and dilations; given two similar two-dimensional figures, describe a sequence that exhibits the similarity between them.",8.G.A.4,4,,8,Standard
5ec26416-d7cc-11e8-824f-0242ac160002,"Use informal arguments to establish facts about the angle sum and exterior angle of triangles, about the angles created when parallel lines are cut by a transversal, and the angle-angle criterion for similarity of triangles. <em>For example, arrange three copies of the same triangle so that the sum of the three angles appears to form a line, and give an argument in terms of transversals why this is so.</em>",8.G.A.5,5,,8,Standard
5ebff0c9-d7cc-11e8-824f-0242ac160002,Understand and apply the Pythagorean Theorem.,8.G.B,2,,8,Cluster
5ec2d7dd-d7cc-11e8-824f-0242ac160002,Explain a proof of the Pythagorean Theorem and its converse.,8.G.B.6,6,,8,Standard
5ec33b93-d7cc-11e8-824f-0242ac160002,Apply the Pythagorean Theorem to determine unknown side lengths in right triangles in real-world and mathematical problems in two and three dimensions.,8.G.B.7,7,,8,Standard
5ec38aa5-d7cc-11e8-824f-0242ac160002,Apply the Pythagorean Theorem to find the distance between two points in a coordinate system.,8.G.B.8,8,,8,Standard
5ec0db9d-d7cc-11e8-824f-0242ac160002,"Solve real-world and mathematical problems involving volume of cylinders, cones, and spheres.",8.G.C,3,,8,Cluster
5ec3b782-d7cc-11e8-824f-0242ac160002,"Know the formulas for the volumes of cones, cylinders, and spheres and use them to solve real-world and mathematical problems.",8.G.C.9,9,,8,Standard
5ec21dc5-d7cc-11e8-824f-0242ac160002,Statistics & Probability,,5,,8,Domain
5ebece72-d7cc-11e8-824f-0242ac160002,Investigate patterns of association in bivariate data.,8.SP.A,1,,8,Cluster
5ebf2aaa-d7cc-11e8-824f-0242ac160002,"Construct and interpret scatter plots for bivariate measurement data to investigate patterns of association between two quantities. Describe patterns such as clustering, outliers, positive or negative association, linear association, and nonlinear association.",8.SP.A.1,1,,8,Standard
5ec06028-d7cc-11e8-824f-0242ac160002,"Know that straight lines are widely used to model relationships between two quantitative variables. For scatter plots that suggest a linear association, informally fit a straight line, and informally assess the model fit by judging the closeness of the data points to the line.",8.SP.A.2,2,,8,Standard
5ec12cfc-d7cc-11e8-824f-0242ac160002,"Use the equation of a linear model to solve problems in the context of bivariate measurement data, interpreting the slope and intercept. <em>For example, in a linear model for a biology experiment, interpret a slope of 1.5 cm/hr as meaning that an additional hour of sunlight each day is associated with an additional 1.5 cm in mature plant height.</em>",8.SP.A.3,3,,8,Standard
5ec1ceea-d7cc-11e8-824f-0242ac160002,"Understand that patterns of association can also be seen in bivariate categorical data by displaying frequencies and relative frequencies in a two-way table. Construct and interpret a two-way table summarizing data on two categorical variables collected from the same subjects. Use relative frequencies calculated for rows or columns to describe possible association between the two variables. <em>For example, collect data from students in your class on whether or not they have a curfew on school nights and whether or not they have assigned chores at home. Is there evidence that those who have a curfew also tend to have chores?</em>",8.SP.A.4,4,,8,Standard
5ebf9437-d7cc-11e8-824f-0242ac160002,Standards for HS Math Content,,13,,"09,10,11,12",
7bb99285-d7cc-11e8-824f-0242ac160002,Higher Mathematics Courses - Traditional Pathway,,,,"09,10,11,12",
7bb994e2-d7cc-11e8-824f-0242ac160002,Algebra I,,,,"09,10,11,12",Course
7bb9975d-d7cc-11e8-824f-0242ac160002,Number and Quantity,,1,,"09,10,11,12",Conceptual Category
7bb9a14a-d7cc-11e8-824f-0242ac160002,The Real Number System,,,,"09,10,11,12",Domain
7bb99e2f-d7cc-11e8-824f-0242ac160002,Extend the properties of exponents to rational exponents.,HSN-RN.A,,,"09,10,11,12",Cluster
7bb99ae6-d7cc-11e8-824f-0242ac160002,"Explain how the definition of the meaning of rational exponents follows from extending the properties of integer exponents to those values, allowing for a notation for radicals in terms of rational exponents. <em>For example, we define 5<sup>1/3</sup> to be the cube root of 5 because we want (5<sup>1/3</sup>)³ = 5(<sup>1/3</sup>)³ to hold, so (5<sup>1/3</sup>)³ must equal 5.</em>",HSN-RN.A.1,1,,"09,10,11,12",Standard
7bb9aa86-d7cc-11e8-824f-0242ac160002,Rewrite expressions involving radicals and rational exponents using the properties of exponents.,HSN-RN.A.2,2,,"09,10,11,12",Standard
7bb9a460-d7cc-11e8-824f-0242ac160002,Use properties of rational and irrational numbers.,HSN-RN.B,,,"09,10,11,12",Cluster
7bb9a770-d7cc-11e8-824f-0242ac160002,Explain why the sum or product of two rational numbers is rational; that the sum of a rational number and an irrational number is irrational; and that the product of a nonzero rational number and an irrational number is irrational.,HSN-RN.B.3,3,,"09,10,11,12",Standard
7bb9b407-d7cc-11e8-824f-0242ac160002,Quantities,,,"Modeling is best interpreted not as a collection of isolated topics but in relation to other standards. Making mathematical models is a Standard for Mathematical Practice, and specific modeling standards appear throughout the high school standards indicated by a star symbol (★). The star symbol sometimes appears on the heading for a group of standards; in that case, it should be understood to apply to all standards in that group.","09,10,11,12",Domain
7bb9b0f4-d7cc-11e8-824f-0242ac160002,Reason quantitatively and use units to solve problems.,HSN-Q.A,,"[Foundation for work with expressions, equations and functions]","09,10,11,12",Cluster
7bb9adce-d7cc-11e8-824f-0242ac160002,Use units as a way to understand problems and to guide the solution of multi-step problems; choose and interpret units consistently in formulas; choose and interpret the scale and the origin in graphs and data displays.,HSN-Q.A.1,1,,"09,10,11,12",Standard
7bb9b731-d7cc-11e8-824f-0242ac160002,Define appropriate quantities for the purpose of descriptive modeling.,HSN-Q.A.2,2,,"09,10,11,12",Standard
7bb9ba44-d7cc-11e8-824f-0242ac160002,Choose a level of accuracy appropriate to limitations on measurement when reporting quantities.,HSN-Q.A.3,3,,"09,10,11,12",Standard
7bb9bd5a-d7cc-11e8-824f-0242ac160002,Algebra,,2,,"09,10,11,12",Conceptual Category
7bb9c70b-d7cc-11e8-824f-0242ac160002,Seeing Structure in Expressions,,,,"09,10,11,12",Domain
7bb9c4e1-d7cc-11e8-824f-0242ac160002,Interpret the structure of expressions,HSA-SSE.A,,"[Linear, exponential, and quadratic]","09,10,11,12",Cluster
7bb9c29b-d7cc-11e8-824f-0242ac160002,Interpret expressions that represent a quantity in terms of its context,HSA-SSE.A.1,1,"Modeling is best interpreted not as a collection of isolated topics but in relation to other standards. Making mathematical models is a Standard for Mathematical Practice, and specific modeling standards appear throughout the high school standards indicated by a star symbol (★). The star symbol sometimes appears on the heading for a group of standards; in that case, it should be understood to apply to all standards in that group.","09,10,11,12",Standard
7bb9c07e-d7cc-11e8-824f-0242ac160002,"Interpret parts of an expression, such as terms, factors, and coefficients.",HSA-SSE.A.1.a,a.,,"09,10,11,12",Component
7bb9d770-d7cc-11e8-824f-0242ac160002,"Interpret complicated expressions by viewing one or more of their parts as a single entity. <em>For example, interpret P(1+r)<sup>n</sup> as the product of P and a factor not depending on P.</em>",HSA-SSE.A.1.b,b.,,"09,10,11,12",Component
7bb9d51c-d7cc-11e8-824f-0242ac160002,"Use the structure of an expression to identify ways to rewrite it. <em>For example, see x<sup>4</sup> — y<sup>4</sup> as (x²)² — (y²)², thus recognizing it as a difference of squares that can be factored as (x² — y²)(x² + y²).</em>",HSA-SSE.A.2,2,,"09,10,11,12",Standard
7bb9c930-d7cc-11e8-824f-0242ac160002,Write expressions in equivalent forms to solve problems,HSA-SSE.B,,[Quadratic and exponential],"09,10,11,12",Cluster
7bb9cdbb-d7cc-11e8-824f-0242ac160002,Choose and produce an equivalent form of an expression to reveal and explain properties of the quantity represented by the expression.,HSA-SSE.B.3,3,"Modeling is best interpreted not as a collection of isolated topics but in relation to other standards. Making mathematical models is a Standard for Mathematical Practice, and specific modeling standards appear throughout the high school standards indicated by a star symbol (★). The star symbol sometimes appears on the heading for a group of standards; in that case, it should be understood to apply to all standards in that group.","09,10,11,12",Standard
7bb9cb6f-d7cc-11e8-824f-0242ac160002,Factor a quadratic expression to reveal the zeros of the function it defines.,HSA-SSE.B.3.a,a.,,"09,10,11,12",Component
7bb9d00d-d7cc-11e8-824f-0242ac160002,Complete the square in a quadratic expression to reveal the maximum or minimum value of the function it defines.,HSA-SSE.B.3.b,b.,,"09,10,11,12",Component
7bb9d22f-d7cc-11e8-824f-0242ac160002,Use the properties of exponents to transform expressions for exponential functions. <em>For example the expression 1.15<sup>t</sup> can be rewritten as (1.151/12)<sup>12t</sup> ≈ 1.012<sup>12t</sup> to reveal the approximate equivalent monhly interest rate if the annual rate is 15%.</em>,HSA-SSE.B.3.c,c.,,"09,10,11,12",Component
7bb9e141-d7cc-11e8-824f-0242ac160002,Arithmetic with Polynomials & Rational Expressions,,,,"09,10,11,12",Domain
7bb9dc9e-d7cc-11e8-824f-0242ac160002,Perform arithmetic operations on polynomials,HSA-APR.A,,[Linear and quadratic],"09,10,11,12",Cluster
7bb9d993-d7cc-11e8-824f-0242ac160002,"Understand that polynomials form a system analogous to the integers, namely, they are closed under the operations of addition, subtraction, and multiplication; add, subtract, and multiply polynomials.",HSA-APR.A.1,1,,"09,10,11,12",Standard
7bb9e946-d7cc-11e8-824f-0242ac160002,Creating Equations,,,"Modeling is best interpreted not as a collection of isolated topics but in relation to other standards. Making mathematical models is a Standard for Mathematical Practice, and specific modeling standards appear throughout the high school standards indicated by a star symbol (★). The star symbol sometimes appears on the heading for a group of standards; in that case, it should be understood to apply to all standards in that group.","09,10,11,12",Domain
7bb9e5cc-d7cc-11e8-824f-0242ac160002,Create equations that describe numbers or relationships,HSA-CED.A,,"[Linear, quadratic, and exponential (integer inputs only); for A.CED.3 linear only]","09,10,11,12",Cluster
7bb9e37a-d7cc-11e8-824f-0242ac160002,"Create equations and inequalities in one variable including ones with absolute value and use them to solve problems. Include equations arising from linear and quadratic functions, and simple rational and exponential functions.",HSA-CED.A.1,1,,"09,10,11,12",Standard
7bb9eb91-d7cc-11e8-824f-0242ac160002,Create equations in two or more variables to represent relationships between quantities; graph equations on coordinate axes with labels and scales.,HSA-CED.A.2,2,,"09,10,11,12",Standard
7bb9eddd-d7cc-11e8-824f-0242ac160002,"Represent constraints by equations or inequalities, and by systems of equations and/or inequalities, and interpret solutions as viable or nonviable options in a modeling context. <em>For example, represent inequalities describing nutritional and cost constraints on combinations of different foods.</em>",HSA-CED.A.3,3,,"09,10,11,12",Standard
7bb9f01b-d7cc-11e8-824f-0242ac160002,"Rearrange formulas to highlight a quantity of interest, using the same reasoning as in solving equations. <em>For example, rearrange Ohm's law V = IR to highlight resistance R.</em>",HSA-CED.A.4,4,,"09,10,11,12",Standard
7bb9f6ce-d7cc-11e8-824f-0242ac160002,Reasoning with Equations & Inequalities,,,,"09,10,11,12",Domain
7bb9f494-d7cc-11e8-824f-0242ac160002,Understand solving equations as a process of reasoning and explain the reasoning,HSA-REI.A,,[Master linear; learn as general principle.],"09,10,11,12",Cluster
7bb9f256-d7cc-11e8-824f-0242ac160002,"Explain each step in solving a simple equation as following from the equality of numbers asserted at the previous step, starting from the assumption that the original equation has a solution. Construct a viable argument to justify a solution method.",HSA-REI.A.1,1,,"09,10,11,12",Standard
7bb9f8fe-d7cc-11e8-824f-0242ac160002,Solve equations and inequalities in one variable,HSA-REI.B,,[Linear inequalities; literal equations that are linear in the variables being solved for; quadratics with real solutions],"09,10,11,12",Cluster
7bb9fb31-d7cc-11e8-824f-0242ac160002,"Solve linear equations and inequalities in one variable, including equations with coefficients represented by letters.",HSA-REI.B.3,3,,"09,10,11,12",Standard
7bba16f4-d7cc-11e8-824f-0242ac160002,"Solve one-variable equations and inequalities involving absolute value, graphing the solutions and interpreting them in context.",HSA.REI.B.3.1,,,"09,10,11,12",Standard
7bb9ffea-d7cc-11e8-824f-0242ac160002,Solve quadratic equations in one variable.,HSA-REI.B.4,4,,"09,10,11,12",Standard
7bb9fdae-d7cc-11e8-824f-0242ac160002,Use the method of completing the square to transform any quadratic equation in x into an equation of the form (x - p)² = q that has the same solutions. Derive the quadratic formula from this form.,HSA-REI.B.4.a,a.,,"09,10,11,12",Component
7bba021d-d7cc-11e8-824f-0242ac160002,"Solve quadratic equations by inspection (e.g., for x² = 49), taking square roots, completing the square, the quadratic formula and factoring, as appropriate to the initial form of the equation. Recognize when the quadratic formula gives complex solutions and write them as a ± bi for real numbers a and b.",HSA-REI.B.4.b,b.,,"09,10,11,12",Component
7bba045c-d7cc-11e8-824f-0242ac160002,Solve systems of equations,HSA-REI.C,,[Linear-linear and linear-quadratic],"09,10,11,12",Cluster
7bba0708-d7cc-11e8-824f-0242ac160002,"Prove that, given a system of two equations in two variables, replacing one equation by the sum of that equation and a multiple of the other produces a system with the same solutions.",HSA-REI.C.5,5,,"09,10,11,12",Standard
7bba094f-d7cc-11e8-824f-0242ac160002,"Solve systems of linear equations exactly and approximately (e.g., with graphs), focusing on pairs of linear equations in two variables.",HSA-REI.C.6,6,,"09,10,11,12",Standard
7bba0b89-d7cc-11e8-824f-0242ac160002,"Solve a simple system consisting of a linear equation and a quadratic equation in two variables algebraically and graphically. <em>For example, find the points of intersection between the line y = -3x and the circle x² + y² = 3.</em>",HSA-REI.C.7,7,,"09,10,11,12",Standard
7bba0dc7-d7cc-11e8-824f-0242ac160002,Represent and solve equations and inequalities graphically,HSA-REI.D,,[Linear and exponential; learn as general principle.],"09,10,11,12",Cluster
7bba1002-d7cc-11e8-824f-0242ac160002,"Understand that the graph of an equation in two variables is the set of all its solutions plotted in the coordinate plane, often forming a curve (which could be a line).",HSA-REI.D.10,10,,"09,10,11,12",Standard
7bba1244-d7cc-11e8-824f-0242ac160002,"Explain why the x-coordinates of the points where the graphs of the equations y = f(x) and y = g(x) intersect are the solutions of the equation f(x) = g(x); find the solutions approximately, e.g., using technology to graph the functions, make tables of values, or find successive approximations. Include cases where f(x) and/or g(x) are linear, polynomial, rational, absolute value, exponential, and logarithmic functions.",HSA-REI.D.11,11,"Modeling is best interpreted not as a collection of isolated topics but in relation to other standards. Making mathematical models is a Standard for Mathematical Practice, and specific modeling standards appear throughout the high school standards indicated by a star symbol (★). The star symbol sometimes appears on the heading for a group of standards; in that case, it should be understood to apply to all standards in that group.","09,10,11,12",Standard
7bba149b-d7cc-11e8-824f-0242ac160002,"Graph the solutions to a linear inequality in two variables as a half-plane (excluding the boundary in the case of a strict inequality), and graph the solution set to a system of linear inequalities in two variables as the intersection of the corresponding half-planes.",HSA-REI.D.12,12,,"09,10,11,12",Standard
7bba1967-d7cc-11e8-824f-0242ac160002,Functions,,3,,"09,10,11,12",Conceptual Category
7bba22de-d7cc-11e8-824f-0242ac160002,Interpreting Functions,,,,"09,10,11,12",Domain
7bba2088-d7cc-11e8-824f-0242ac160002,Understand the concept of a function and use function notation,HSF-IF.A,,[Learn as general principle; focus on linear and exponential and on arithmetic and geometric sequences.],"09,10,11,12",Cluster
7bba1ba9-d7cc-11e8-824f-0242ac160002,"Understand that a function from one set (called the domain) to another set (called the range) assigns to each element of the domain exactly one element of the range. If f is a function and x is an element of its domain, then f(x) denotes the output of f corresponding to the input x. The graph of f is the graph of the equation y = f(x).",HSF-IF.A.1,1,,"09,10,11,12",Standard
7bba41c8-d7cc-11e8-824f-0242ac160002,"Use function notation, evaluate functions for inputs in their domains, and interpret statements that use function notation in terms of a context.",HSF-IF.A.2,2,,"09,10,11,12",Standard
7bba438a-d7cc-11e8-824f-0242ac160002,"Recognize that sequences are functions, sometimes defined recursively, whose domain is a subset of the integers. <em>For example, the Fibonacci sequence is defined recursively by f(0) = f(1) = 1, f(n+1) = f(n) + f(n-1) for n ≥ 1.</em>",HSF-IF.A.3,3,,"09,10,11,12",Standard
7bba2565-d7cc-11e8-824f-0242ac160002,Interpret functions that arise in applications in terms of the context,HSF-IF.B,,"[Linear, exponential, and quadratic]","09,10,11,12",Cluster
7bba27f1-d7cc-11e8-824f-0242ac160002,"For a function that models a relationship between two quantities, interpret key features of graphs and tables in terms of the quantities, and sketch graphs showing key features given a verbal description of the relationship.",HSF-IF.B.4,4,"Key features include: intercepts; intervals where the function is increasing, decreasing, positive, or negative; relative maximums and minimums; symmetries; end behavior; and periodicity.","09,10,11,12",Standard
7bba2a7c-d7cc-11e8-824f-0242ac160002,"Relate the domain of a function to its graph and, where applicable, to the quantitative relationship it describes. <em>For example, if the function h(n) gives the number of person-hours it takes to assemble n engines in a factory, then the positive integers would be an appropriate domain for the function.</em>",HSF-IF.B.5,5,,"09,10,11,12",Standard
7bba2d1c-d7cc-11e8-824f-0242ac160002,Calculate and interpret the average rate of change of a function (presented symbolically or as a table) over a specified interval. Estimate the rate of change from a graph.,HSF-IF.B.6,6,"Modeling is best interpreted not as a collection of isolated topics but in relation to other standards. Making mathematical models is a Standard for Mathematical Practice, and specific modeling standards appear throughout the high school standards indicated by a star symbol (★). The star symbol sometimes appears on the heading for a group of standards; in that case, it should be understood to apply to all standards in that group.","09,10,11,12",Standard
7bba2ef5-d7cc-11e8-824f-0242ac160002,Analyze functions using different representations,HSF-IF.C,,"[Linear, exponential, quadratic, absolute value, step, piecewise-defined]","09,10,11,12",Cluster
7bba32ea-d7cc-11e8-824f-0242ac160002,"Graph functions expressed symbolically and show key features of the graph, by hand in simple cases and using technology for more complicated cases.",HSF-IF.C.7,7,"Modeling is best interpreted not as a collection of isolated topics but in relation to other standards. Making mathematical models is a Standard for Mathematical Practice, and specific modeling standards appear throughout the high school standards indicated by a star symbol (★). The star symbol sometimes appears on the heading for a group of standards; in that case, it should be understood to apply to all standards in that group.","09,10,11,12",Standard
7bba30b3-d7cc-11e8-824f-0242ac160002,"Graph linear and quadratic functions and show intercepts, maxima, and minima.",HSF-IF.C.7.a,a.,,"09,10,11,12",Component
7bba35e0-d7cc-11e8-824f-0242ac160002,"Graph square root, cube root, and piecewise-defined functions, including step functions and absolute value functions.",HSF-IF.C.7.b,b.,,"09,10,11,12",Component
7bba38de-d7cc-11e8-824f-0242ac160002,"Graph exponential and logarithmic functions, showing intercepts and end behavior, and trigonometric functions, showing period, midline, and amplitude.",HSF-IF.C.7.e,e.,,"09,10,11,12",Component
7bba3c7a-d7cc-11e8-824f-0242ac160002,Write a function defined by an expression in different but equivalent forms to reveal and explain different properties of the function.,HSF-IF.C.8,8,,"09,10,11,12",Standard
7bba3ab1-d7cc-11e8-824f-0242ac160002,"Use the process of factoring and completing the square in a quadratic function to show zeros, extreme values, and symmetry of the graph, and interpret these in terms of a context.",HSF-IF.C.8.a,a.,,"09,10,11,12",Component
7bba3e3c-d7cc-11e8-824f-0242ac160002,"Use the properties of exponents to interpret expressions for exponential functions. <em>For example, identify percent rate of change in functions such as y = (1.02)<sup>t</sup>, y = (0.97)<sup>t</sup>, y = (1.01 <sup>12t</sup>, y = (1.2)<sup>t/10</sup>, and classify them as representing exponential growth or decay.</em>",HSF-IF.C.8.b,b.,,"09,10,11,12",Component
